datetime,mean_power,max_power,min_power,std_power,peak_to_avg_ratio,avg_kitchen,avg_laundry,avg_hvac,mean_voltage,std_voltage,day_of_week,is_weekend,kmeans_cluster,kmedoids_cluster,dbscan_cluster,agg_cluster
2006-12-16,3.0534747474747475,7.706,0.284,1.0263378212904992,2.5236822431143198,0.0,1.378787878787879,12.43939393939394,236.24376262626265,2.9228955184655203,5,1,2,0,-1,2
2006-12-17,2.354486111111111,7.064,0.206,1.2057954435344829,3.000230057278364,1.4118055555555555,2.907638888888889,9.264583333333333,240.0870277777778,4.051466800751101,6,1,2,0,-1,2
2006-12-18,1.5304347222222223,6.158,0.202,1.0050741549206366,4.023693340581334,0.7381944444444445,1.820138888888889,9.734722222222222,241.23169444444449,3.719575628087397,0,0,2,0,-1,1
2006-12-19,1.1570791666666669,7.84,0.194,1.23760241627707,6.775681583297023,0.5826388888888889,5.279166666666667,4.303472222222222,241.9993125,3.069491633427657,1,0,2,0,-1,2
2006-12-20,1.5456583333333334,5.988,0.202,1.3209679795468874,3.8740773888149063,0.0,1.8388888888888888,9.765972222222222,242.3080625,3.34570379868427,2,0,2,0,-1,1
2006-12-21,1.193757997218359,5.854,0.194,0.9934318646574588,4.90384149353615,1.2273991655076495,1.8240611961057025,7.246870653685675,241.04054937413076,3.702491108401269,3,0,1,0,-1,1
2006-12-22,1.6259291666666669,7.884,0.202,1.436179939204263,4.848919720262516,2.188194444444445,0.2430555555555555,7.729861111111111,241.1845486111111,3.57280718080529,4,0,2,0,-1,1
2006-12-23,3.314851388888889,8.698,0.208,1.50327630523927,2.6239487022419725,1.8534722222222224,0.2951388888888889,10.22638888888889,240.1360763888889,2.827044406717384,5,1,2,0,-1,2
2006-12-24,1.7708416666666669,6.824,0.196,1.2753698232947774,3.8535348068950257,1.1826388888888888,3.529166666666667,4.785416666666666,241.6874375,3.439826631979948,6,1,2,0,-1,2
2006-12-25,1.9049444444444443,6.702,0.198,1.4257552983044437,3.5182128379363644,4.597222222222222,1.3625,4.024305555555555,243.3999305555556,3.4710003397610225,0,0,2,0,-1,2
